Stdname,"Certifié le",Inventaire,"Débit / an",Tri,REMARQUE,Tiers,Prix,Type,Statut,InvCheck,Number,Alloy,Series,Position,Remplace,Initial,Cu,Fe,Mg,Mn,Ni,Si,Ti,Zn,Bi,Cr,Pb,Sn,B,Be,Ca,Cd,Co,Ga,Li,Na,Sr,V,Zr,Sb,P,K,SiC,Hg,As,Ba,Mo,Tl
"    HP FJ",01/15/2002,1080,300,0,,N,295,D,,,,HP,"FJ D",,"     HP FI",1000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,
"A413.2 CAB",06/10/1994,33,17,1,,N,200,D,,,20175,A413.2,"CAB DS",,"   160 CDV",120,0.0006,0.37,0.0001,0.0016,0.0001,11.99,0.0001,0.0001,0.0001,0.0003,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0014,0.0003,,,,,,,
"  6061 DAO",10/17/2000,499,,0,"standard de contrôle de qualité",N,150,D,,,10559,6061,"DAO D",,NEW,500,0.303,0.242,0.985,0.0078,0.0048,0.638,0.0125,0.0139,,0.151,0.001,0.0005,0.0002,,0.0001,,0.0002,0.0172,,0.0001,,0.012,0.0023,,0.0008,,,,,,,
"  3005 CAB",05/06/1993,49,10,1,,N,200,D,,,21066,3005,"CAB DS",,,120,0.0001,0.44,0.45,1.16,0.0003,0.19,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,,,,,,,
"  3104 CAO",,,40,0,"remplace 3104 CAJ",N,295,D,,,20213,3104,"CAO DS",,"  3104 CAJ",600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  3105 AD",04/20/1994,200,26,1,,N,200,D,,,10347,3105,"AD D",,"  3105 AC",120,0.09,0.49,0.5,0.52,0.029,0.23,0.038,0.14,0.015,0.094,0.013,0.014,,0.001,0.0026,,,0.023,0.0011,0.0013,0.0024,0.023,0.0026,0.0029,0.002,,,,,,,
"  6111 AE",06/21/1995,417,3,1,"recu le 4-11-94",N,200,D,,,10346,6111,"AE D",,NEW,120,0.75,0.24,0.77,0.2,0.028,0.6,0.065,0.027,0.025,0.072,0.016,0.018,,0.0013,0.0023,0.0014,,0.019,0.0025,0.0019,0.0026,0.023,0.0031,0.0031,0.003,,,,,,,
"  3004 CAM",02/01/1994,1,12,1,Ok,N,200,D,,,20167,3004,"CAM DS",,"  3004 CAJ",120,0.17,0.56,1.26,1.16,0.0005,0.22,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,
"  5454 CAB",03/02/1992,49,5,1,,N,200,D,,,20145,5454,"CAB DS",,,120,0.0004,0.15,2.66,0.79,0.0001,0.13,0.0002,0.0004,0.0001,0.1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,
"  6351 AJ",04/25/1996,138,38,1,"analyse de variance à venir en Juin 96",N,240,D,,,10388,6351,"AJ D",,"  6351 AH",250,0.057,0.32,0.61,0.57,0.03,1.14,0.05,0.057,0.017,0.032,0.0084,0.018,,0.0011,0.0022,0.0016,,0.021,0.0027,0.0024,0.0022,0.021,0.0037,0.0042,0.005,,,,,,,
